AvgRequestNo,AvgTimeBetwReq,AvgTimeBetwRespReq,AvgDataRate,AvgPacketNo,AvgPacketSize,AvgConcurrentReq,MaxReq,AvgDuration,Class
-0.998692069488111,-0.9999477680508707,-1.0,-0.9980353634577603,-0.9852142101792519,-0.9464560907582671,-0.931753463927377,-0.7528619528619529,-0.3889388381177108,slowloris
-0.9990384129295815,-0.9997783178903232,-1.0,-0.9982318271119842,-0.9856389868694403,-0.9480940683368795,-0.9290232748617842,-0.7272727272727273,-0.17432786673798684,slowloris
-0.9992040554450675,-0.9997256810423635,-1.0,-0.9982318271119842,-0.9857928730356462,-0.9486825462520188,-0.918102518599413,-0.6989898989898989,0.003668423109168595,slowloris
-0.9983564820541393,-0.9998676993071473,-1.0,-0.9966601178781925,-0.9816900897944857,-0.9269406089798793,-0.6415452870111256,-0.5353535353535354,-0.4616522699079291,slowloris
-0.9975282694767096,-0.9999120357290826,-1.0,-0.9954813359528487,-0.978350378451867,-0.9168867338741298,-0.3960002730189065,-0.5346801346801346,-0.7136834331685642,slowloris
-0.9978617057091813,-0.9998981679441393,-1.0,-0.9954813359528487,-0.978622540762347,-0.9168748885054674,-0.23974063203876872,-0.3959595959595959,-0.5661017977928764,slowloris
-0.9980746746576632,-0.9998873369004245,-1.0,-0.9956777996070727,-0.9787955037260165,-0.9180466323735348,-0.2429868268377584,-0.27474747474747474,-0.5223171889838556,slowloris
-0.9969302354597602,-0.9999290414799619,-1.0,-0.9941060903732809,-0.9749992210307703,-0.9073758504678565,0.08141969831410822,-0.4222222222222222,-0.7432508475562183,slowloris
-0.9973153005282276,-0.99991638839151,-1.0,-0.9939096267190569,-0.9744879628587472,-0.9060633836200821,0.7107446590676404,0.01077441077441088,-0.5939949646119198,slowloris
-0.996850641004267,-0.9999304586258685,-1.0,-0.9939096267190569,-0.9735277640530818,-0.9087352249755334,0.021115282233294508,-0.9461279461279462,-0.6740262745588977,slowloris
-0.9969732594897566,-0.9999282316823009,-1.0,-0.993516699410609,-0.9729109476017604,-0.9049413903003962,0.7411316633676882,-0.1454545454545454,-0.6495992048588587,slowloris
-0.9969194794522611,-0.9999295476035,-1.0,-0.9941060903732809,-0.9746011518570309,-0.9080472459636314,0.009293563579277686,-0.4202020202020202,-0.6709319514468205,slowloris
-0.9970571563482494,-0.9999259035140259,-1.0,-0.993713163064833,-0.973211089215187,-0.906343408135257,0.5434250221827862,-0.16902356902356896,-0.6429224471834325,slowloris
-0.9970528539452498,-0.9999305598505761,-1.0,-0.993516699410609,-0.9733954982573345,-0.9042567279917196,0.7028216503992905,-0.07542087542087539,-0.652998281493621,slowloris
-0.9970184347212527,-0.9999270169858095,-1.0,-0.993516699410609,-0.9729872547916146,-0.9059278726025863,0.5346420039587744,-0.1582491582491582,-0.6457196039974558,slowloris
-0.9968054657727707,-0.9999319769964827,-1.0,-0.993713163064833,-0.9733929546843394,-0.9077155756410892,0.07013036652788196,-0.39865319865319865,-0.677642396399609,slowloris
-0.996945293870259,-0.9999288390305466,-1.0,-0.9933202357563851,-0.972921121893741,-0.9047324379971946,0.7104552590266876,-0.13737373737373726,-0.6516212002230644,slowloris
-0.9965924968242889,-0.999936127209495,-1.0,-0.9933202357563851,-0.9720359584914323,-0.905462586521534,0.3682861238140741,-0.35892255892255887,-0.6891476132488117,slowloris
-0.9968570946087664,-0.9999288390305466,-1.0,-0.9931237721021611,-0.971821026573343,-0.9043282740184395,0.673958091597843,-0.11245791245791237,-0.6497547429637975,slowloris
-0.9966677888767824,-0.9999333941423894,-1.0,-0.993516699410609,-0.9723004900829268,-0.9066077967637979,0.26378267695037894,-0.373063973063973,-0.6806486571244672,slowloris
-0.9968033145712709,-0.9999310659741142,-1.0,-0.9931237721021611,-0.9714051523886376,-0.9040373517640952,0.7961449730393834,-0.09764309764309764,-0.6577440905004155,slowloris
-0.9964827855477981,-0.9999378480295245,-1.0,-0.9931237721021611,-0.9713517373557397,-0.9042155061087751,0.4008791208791208,-0.33804713804713804,-0.6943410685088449,slowloris
-0.9967861049592724,-0.9999318757717751,-1.0,-0.9929273084479371,-0.9714611109945307,-0.9034777765484918,0.7664841990307828,-0.09292929292929286,-0.6602187902676141,slowloris
-0.9964182495028037,-0.999939265175431,-1.0,-0.9931237721021611,-0.9731996431367088,-0.8982397545260562,0.41275544331444947,-0.32592592592592584,-0.6970990246622737,slowloris
-0.9965817408167897,-0.9999364308836178,-1.0,-0.9925343811394891,-0.9702821649112834,-0.9013323433763898,0.9923199781584876,-0.03501683501683506,-0.673926376101254,slowloris
-0.9978487985001824,-0.9998989777418003,-1.0,-0.9966601178781925,-0.9858246676980855,-0.9062614381841145,-0.6281564398334585,-0.5946127946127946,-0.5808892985990189,slowloris
-0.9973282077372265,-0.9999170969644633,-1.0,-0.9954813359528487,-0.9822229683369674,-0.8984757142698077,-0.3114818101153505,-0.49696969696969695,-0.631171100767195,slowloris
-0.9970700635572484,-0.9999244863681193,-1.0,-0.9948919449901767,-0.9805314922951994,-0.8953338486858393,-0.04091188314790806,-0.44848484848484843,-0.6533902880995646,slowloris
-0.9967516857352754,-0.9999327867941437,-1.0,-0.9941060903732809,-0.978649248278796,-0.8916172458143798,0.2601023820899596,-0.38855218855218854,-0.6788138133011635,slowloris
-0.9969044210417624,-0.9999285353564238,-1.0,-0.9944990176817288,-0.9796946567797984,-0.8931879416989907,-0.11066821377380387,-0.4175084175084175,-0.6667855331858883,slowloris
-0.9966290672497857,-0.9999354186365417,-1.0,-0.9939096267190569,-0.9781176415228117,-0.8898385452560602,0.3430946693058493,-0.3656565656565657,-0.6860570837490501,slowloris
-0.9967108129067788,-0.9999339002659274,-1.0,-0.9941060903732809,-0.978649248278796,-0.8906018608126539,0.16178281345983214,-0.3811447811447811,-0.6826643298014803,slowloris
-0.9965924968242889,-0.9999362284342026,-1.0,-0.9939096267190569,-0.977921786402186,-0.8942734512831969,0.29908402156849345,-0.35892255892255887,-0.6896508991493457,slowloris
-0.9964892391522976,-0.999937949254232,-1.0,-0.993516699410609,-0.9771129301897314,-0.8887606167077977,0.37425158692239446,-0.33939393939393936,-0.6936481019925316,slowloris
-0.9980316506276669,-0.9998892601698692,-1.0,-0.9972495088408644,-0.9891453022432406,-0.8993773837323762,-0.679544058426046,-0.6289562289562289,-0.5536461040233788,slowloris
-0.997511059864711,-0.999909808785515,-1.0,-0.9960707269155206,-0.9856021050610108,-0.8914604131332919,-0.42887993993584056,-0.5313131313131313,-0.6101013779664468,slowloris
-0.9972679740952316,-0.9999196275821537,-1.0,-0.9956777996070727,-0.9844549536402027,-0.8863124159126893,-0.3687338748208313,-0.4855218855218855,-0.6399128480797367,slowloris
-0.9970442491392506,-0.999926409637564,-1.0,-0.9950884086444007,-0.9826960729140635,-0.8856106962731392,-0.13864173093986754,-0.44377104377104376,-0.659030125075398,slowloris
-0.9966828472872812,-0.9999323818953132,-1.0,-0.9943025540275049,-0.9804971540597651,-0.8825176336080591,0.11173025732031949,-0.37575757575757573,-0.6775555985498285,slowloris
-0.9968872114297639,-0.9999299525023304,-1.0,-0.9946954813359528,-0.9818503348931795,-0.8838149383839459,-0.006661661320046308,-0.4141414141414141,-0.6711241611374767,slowloris
